Date, Close/Last, Volume, Open, High, Low
01/10/2020, $76.75, 397369, $77.53, $77.87, $76.47
01/09/2020, $77.33, 538585, $77.87, $78.19, $76.875
01/08/2020, $76.98, 742997, $75.99, $77.49, $75.555
01/07/2020, $75.92, 400188, $76.13, $76.98, $75.62
01/06/2020, $76.27, 380525, $74.76, $76.31, $74.61
01/03/2020, $75.425, 311155, $75.34, $75.77, $74.88
01/02/2020, $76.37, 538683, $75.43, $76.9, $74.98
12/31/2019, $74.89, 437841, $74.95, $75.445, $74.73
12/30/2019, $75.29, 306531, $75.83, $75.9, $74.6
12/27/2019, $75.78, 436296, $75.98, $75.98, $75.055
12/26/2019, $75.61, 263238, $74.43, $75.68, $74.43
12/24/2019, $74.43, 142977, $74.84, $75.37, $74.37
12/23/2019, $74.58, 889985, $74.27, $75.17, $73.65
12/20/2019, $74.14, 1577056, $74.67, $74.71, $73.91
12/19/2019, $74.48, 677030, $74.39, $74.62, $73.5
12/18/2019, $74.06, 502034, $73.67, $74.58, $73.325
12/17/2019, $73.77, 524447, $74.43, $74.51, $73.61
12/16/2019, $74.38, 1098982, $74.99, $75.59, $74.29
12/13/2019, $74.63, 585312, $73.53, $74.95, $73.15
12/12/2019, $73.44, 601218, $73.73, $74.34, $72.86
12/11/2019, $73.93, 426753, $74.78, $74.85, $73.81
12/10/2019, $74.9, 393679, $75.81, $76.21, $74.69
12/09/2019, $76.09, 561203, $75.69, $76.76, $75.525
12/06/2019, $75.71, 363722, $76.83, $76.83, $75.7
12/05/2019, $75.76, 463004, $75.43, $75.77, $74.76
12/04/2019, $75.02, 685352, $76.07, $76.4, $75.02
12/03/2019, $75.76, 912179, $74.96, $75.93, $74.11
12/02/2019, $75.92, 613982, $76.51, $77.27, $75.69
11/29/2019, $76.6, 367427, $77.14, $77.85, $76.58
11/27/2019, $77.09, 819920, $75.2, $77.11, $74.93
11/26/2019, $75.48, 691261, $74.79, $75.57, $74.38
11/25/2019, $74.65, 878108, $75.5, $75.88, $74.55
11/22/2019, $75.14, 998193, $75.15, $75.47, $74.98
11/21/2019, $75.08, 583978, $75.2, $75.7, $74.275
11/20/2019, $74.93, 1185341, $73.25, $75.07, $73.245
11/19/2019, $73.5, 519312, $73.29, $74.06, $71.42
11/18/2019, $72.81, 957848, $73.39, $73.77, $72
11/15/2019, $74.09, 1355284, $74.04, $74.305, $73.24
11/14/2019, $73.64, 598706, $74.28, $74.61, $73.1
11/13/2019, $74.19, 810305, $72.74, $74.56, $72.69
11/12/2019, $73.27, 503050, $73.28, $73.75, $72.83
11/11/2019, $73.18, 314886, $72.64, $73.7, $72.64
11/08/2019, $73.23, 555295, $72.52, $73.5764, $71.89
11/07/2019, $72.8, 930913, $72.22, $73.515, $71.9757
11/06/2019, $71.77, 1110966, $72.91, $72.92, $71.66
11/05/2019, $73.17, 1616102, $71.23, $73.2, $71.135
11/04/2019, $70.76, 1040321, $70.25, $71.21, $70.14
11/01/2019, $69.6, 958705, $67.35, $69.64, $67.235
10/31/2019, $66.91, 851240, $66.63, $67.25, $66.36
10/30/2019, $66.82, 1301699, $64.88, $66.97, $64.01
10/29/2019, $64.21, 3076916, $67.4, $67.4, $63.44
10/28/2019, $67.41, 1412081, $67.93, $68.74, $67.02
10/25/2019, $67.75, 1481244, $69.46, $69.8917, $67.59
10/24/2019, $69.95, 4613397, $77, $77.75, $68.745
10/23/2019, $66.89, 1021836, $66.09, $67.19, $65.46
10/22/2019, $65.94, 849614, $66.23, $67.16, $65.515
10/21/2019, $66.12, 1604599, $64.63, $66.55, $64.2
10/18/2019, $64.38, 1365426, $64.31, $65.19, $63.21
10/17/2019, $64.45, 853388, $64.88, $65.65, $64.3
10/16/2019, $64.73, 806294, $64.1, $64.79, $63.41
10/15/2019, $65, 690837, $65.92, $66.035, $64.98
10/14/2019, $65.43, 1112023, $64.49, $65.85, $64.04
10/11/2019, $64.46, 1529463, $64.38, $65.89, $64.025
10/10/2019, $62.99, 1519141, $62.85, $63.99, $62.19
10/09/2019, $63.23, 674229, $63.56, $64.21, $63.19
10/08/2019, $62.71, 1105391, $63.75, $64.07, $62.4
10/07/2019, $64.55, 549211, $65.59, $65.61, $64.5
10/04/2019, $65.65, 571566, $65.73, $66.3, $64.825
10/03/2019, $65.22, 639833, $64.25, $65.85, $63.52
10/02/2019, $64.48, 952031, $65.09, $65.2329, $63.65
10/01/2019, $66.04, 689969, $68.69, $69.43, $65.675
09/30/2019, $68.18, 610109, $67.41, $68.6, $66.895
09/27/2019, $67.39, 682049, $67.79, $68.37, $66.6
09/26/2019, $67.36, 828189, $67.16, $67.77, $66.35
09/25/2019, $66.98, 660609, $66.15, $67.18, $65.31
09/24/2019, $66.4, 572783, $67.83, $68.04, $66.14
09/23/2019, $67.51, 992046, $67.66, $67.78, $66.29
09/20/2019, $67.72, 1445467, $67.76, $68.34, $67.46
09/19/2019, $67.58, 663959, $67.28, $67.75, $66.96
09/18/2019, $67, 724245, $67.13, $67.45, $65.96
09/17/2019, $67.46, 505885, $67.29, $67.53, $66.27
09/16/2019, $67.25, 479895, $66.22, $67.58, $65.885
09/13/2019, $66.55, 809007, $66.72, $68.15, $66.36
09/12/2019, $66.4, 1323764, $67.32, $67.4, $66.12
09/11/2019, $66.74, 871868, $67.29, $68, $66.63
09/10/2019, $67.01, 1080376, $67.89, $67.89, $66.34
09/09/2019, $68.15, 1184141, $67.7, $68.18, $67.03
09/06/2019, $67.13, 729047, $66.92, $67.69, $66.26
09/05/2019, $66.94, 891435, $65.54, $67.175, $65.05
09/04/2019, $64.22, 956975, $64.55, $64.65, $63.65
09/03/2019, $63.51, 1344869, $64.9, $65.41, $62.81
08/30/2019, $65.47, 706563, $66.23, $66.77, $65.015
08/29/2019, $65.67, 860664, $65.93, $66.205, $65.41
08/28/2019, $64.93, 800624, $63.45, $65.07, $62.75
08/27/2019, $64.92, 1026248, $66.06, $66.0899, $64.7
08/26/2019, $65.26, 1148521, $66.18, $66.24, $64.96
08/23/2019, $65.12, 1103612, $66.99, $67.99, $65.03
08/22/2019, $67.37, 1154376, $69.39, $69.39, $66.9
08/21/2019, $67.92, 1551856, $67.52, $68.47, $66.57
08/20/2019, $66.61, 1195297, $66.64, $66.84, $66.01
08/19/2019, $66.89, 1710626, $66.53, $67.13, $65.81
08/16/2019, $65.38, 834016, $64.48, $65.46, $64.265
08/15/2019, $63.71, 1344676, $64.03, $64.23, $62.42
08/14/2019, $63.93, 1312377, $64.52, $64.52, $62.05
08/13/2019, $65.8, 904386, $64.43, $66.465, $64.43
08/12/2019, $64.65, 967593, $65.98, $65.98, $64.32
08/09/2019, $66.48, 997586, $66.46, $67.3, $65.84
08/08/2019, $66.96, 1414168, $65.76, $67.01, $65.3
08/07/2019, $65.08, 1514614, $64.06, $65.37, $64.02
08/06/2019, $65.53, 1879660, $65.77, $66.23, $64.8063
08/05/2019, $64.83, 2009230, $66.35, $66.41, $64.255
08/02/2019, $67.27, 1602249, $67.45, $68.01, $66.55
08/01/2019, $67.81, 2232673, $67.58, $68.52, $67.38
07/31/2019, $67.78, 3599548, $69.14, $69.42, $66.73
07/30/2019, $69.06, 1600406, $69.98, $70.41, $68.58
07/29/2019, $70.47, 2004172, $73.06, $73.263, $69.9205
07/26/2019, $73.36, 2001803, $73.43, $74.57, $72.56
07/25/2019, $72.9, 10353600, $77.26, $77.75, $72.87
07/24/2019, $91.6, 1723530, $90.07, $92.47, $90.07
07/23/2019, $90.6, 762876, $90, $90.73, $89.1
07/22/2019, $89.71, 1668742, $88.55, $90.005, $87.69
07/19/2019, $87.99, 1475203, $88.8, $89.38, $87.98
07/18/2019, $88.48, 563299, $89.51, $89.55, $88.39
07/17/2019, $89.63, 701390, $89.34, $90.32, $88.94
07/16/2019, $89.5, 540814, $90.4, $90.47, $89.34
07/15/2019, $90.42, 691512, $91.44, $91.65, $89.96
07/12/2019, $91.07, 693160, $90.61, $91.19, $89.59
07/11/2019, $90.18, 887796, $90.91, $91.56, $89.84
07/10/2019, $91.06, 878503, $90.16, $92.21, $90.13
07/09/2019, $89.57, 1495802, $90.47, $90.9, $88.25
07/08/2019, $90.77, 1003520, $92.07, $92.52, $90.16
07/05/2019, $92.83, 529955, $91.94, $93.34, $91.04
07/03/2019, $92.97, 436303, $91.37, $93.05, $90.64
07/02/2019, $90.97, 544723, $90.5, $91.14, $90
07/01/2019, $90.67, 642361, $91.4, $91.4, $90.06
06/28/2019, $89.76, 1555632, $88.33, $89.8, $87.53
06/27/2019, $87.71, 749828, $87.73, $88.74, $87.21
06/26/2019, $87.25, 812611, $86.63, $87.56, $86.11
06/25/2019, $86.06, 930491, $89.13, $89.33, $85.86
06/24/2019, $88.7, 762327, $89.33, $89.535, $88.62
06/21/2019, $88.85, 2022847, $89.03, $89.67, $88.19
06/20/2019, $89.49, 1309216, $89.24, $89.94, $88.69
06/19/2019, $87.96, 493685, $86.9, $87.99, $86.385
06/18/2019, $86.55, 624549, $85.31, $86.89, $84.5
06/17/2019, $84.46, 580753, $83.98, $85.2275, $83.92
06/14/2019, $83.9, 1008451, $85.96, $85.96, $83.42
06/13/2019, $86.32, 614206, $87.69, $87.69, $85.89
06/12/2019, $87.47, 818536, $88.26, $88.5, $86.87
06/11/2019, $88.32, 1385464, $91.76, $91.95, $88.22
06/10/2019, $90.77, 1123456, $89.59, $91.67, $88.84
06/07/2019, $88.76, 872930, $87.79, $89.43, $87.2
06/06/2019, $87.14, 1139631, $85.7, $87.37, $85
06/05/2019, $85.99, 620296, $85.16, $86.07, $83.69
06/04/2019, $84.26, 776663, $81.95, $84.33, $81.43
06/03/2019, $80.86, 1287254, $84.27, $84.62, $80.46
05/31/2019, $84.06, 816955, $84.05, $84.8, $83.425
05/30/2019, $85.44, 426804, $84.98, $85.6656, $84.785
05/29/2019, $84.63, 630082, $85.97, $86.04, $84.45
05/28/2019, $86.4, 1397051, $85.74, $87.19, $85.41
05/24/2019, $85.44, 738087, $84.55, $85.95, $84.55
05/23/2019, $84.77, 1145368, $84.83, $85.72, $84.45
05/22/2019, $86.52, 598936, $84.82, $86.86, $84.82
05/21/2019, $85.33, 1375313, $84.87, $85.78, $84.5
05/20/2019, $83.85, 836580, $85.64, $86.01, $83.39
05/17/2019, $86.84, 579993, $87.81, $88.7, $86.76
05/16/2019, $88.55, 787548, $87.24, $90.24, $87.06
05/15/2019, $87.07, 768465, $84.68, $87.53, $84.05
05/14/2019, $85.46, 502645, $84.62, $86.12, $84.35
05/13/2019, $83.93, 806055, $85.25, $86.13, $83.6
05/10/2019, $87.56, 1283124, $86.12, $87.91, $84.95
05/09/2019, $86.33, 1514646, $85.25, $86.9, $84.11
